Country ID,Country Name,PA Category,# PAs,Mean area of PAs,Area of largest PA,Name of largest PA,Year of establ. Of largest PA
41,Cameroon,ALL,34,1627.42,5906.18,Gashaka-Gumti,1991
41,Cameroon,II,21,1958.99,5906.18,Gashaka-Gumti,1991
41,Cameroon,IV,12,898.13,5299.82,Dja,2007
41,Cameroon,VI,1,3415.84,3415.84,Dzanga-Sangha,1990
42,Canada,ALL,7477,177.69,79960.54,Arctic,1960
42,Canada,Ia,509,26.12,2402.87,Polar Bear Pass National Wildlife Area,1985
42,Canada,Ib,314,1419.73,56108.27,Queen Maud Gulf Migratory Bird Sanctuary,1961
42,Canada,II,1884,348.01,45352.47,Wood Buffalo National Park of Canada,1922
42,Canada,III,515,8.35,1380.41,Réserve de biodiversité Uapishka,2009
42,Canada,IV,3010,36.81,79960.54,Arctic,1960
42,Canada,V,158,287.43,17440.03,Wrangell-St. Elias,0
42,Canada,VI,1087,49.07,14116.53,Wildlife Habitat Protection,1984
44,Caspian Sea,ALL,18,514.85,2663.26,Hazar,1932
44,Caspian Sea,Ia,4,1069.32,2663.26,Hazar,1932
44,Caspian Sea,II,4,177.77,566.38,Shirvan National Park,2003
44,Caspian Sea,IV,9,455.42,1808.68,Aktay-Buzachinskiy,1982
44,Caspian Sea,VI,1,180.1,180.1,Astrakhansky (Buffer Zone),1984
45,Cayman Islands,ALL,49,2.19,30.75,North Sound Replenishment Zone,1986
45,Cayman Islands,Ib,2,8.97,17.12,Environmental Zone,1986
45,Cayman Islands,II,26,1.15,5.39,Seven Mile Beach Marine Park,1986
45,Cayman Islands,IV,21,2.83,30.75,North Sound Replenishment Zone,1986
46,Central African Republic,ALL,20,6369.13,33009.74,Bili-Uere,0
46,Central African Republic,Ia,1,848.39,848.39,Vassako-Bolo,1960
46,Central African Republic,Ib,1,6589.92,6589.92,Bomu,0
46,Central African Republic,II,7,5941.15,19092.16,Manovo-Gounda-Saint Floris,1933
46,Central African Republic,IV,8,5053.31,13764.22,Zemongo,1940
46,Central African Republic,VI,3,12643.25,33009.74,Bili-Uere,0
